iter	Logloss
0	0.6574892202
1	0.6293526542
2	0.6033896376
3	0.5725806291
4	0.5555929854
5	0.5373913332
6	0.5217539054
7	0.5088919035
8	0.498579526
9	0.4886373834
10	0.481450013
11	0.4743523436
12	0.4673108665
13	0.4614267071
14	0.4545014247
15	0.4493238701
16	0.4450623057
17	0.4389463979
18	0.4343462558
19	0.4298054752
20	0.4264845431
21	0.4239479875
22	0.4208834102
23	0.4179142314
24	0.4142077879
25	0.4107217332
26	0.4082028757
27	0.4049086153
28	0.4025535984
29	0.4002632132
30	0.3977025142
31	0.3953427256
32	0.3921930765
33	0.3894485242
34	0.3874810129
35	0.3858894695
36	0.3836908507
37	0.3805554812
38	0.3793144805
39	0.3778563314
40	0.3763663827
41	0.3755625276
42	0.3741763459
43	0.3727441207
44	0.3718112158
45	0.3705493121
46	0.3685843647
47	0.3671692322
48	0.3661941653
49	0.3652899619
50	0.3641400154
51	0.3631806168
52	0.361958418
53	0.3610335609
54	0.3599636652
55	0.35844822
56	0.3575760653
57	0.3554816407
58	0.3538448374
59	0.3527985509
60	0.3522341004
61	0.3507610308
62	0.3501083392
63	0.3485547915
64	0.347463245
65	0.3457485275
66	0.3449064631
67	0.3440950943
68	0.3432630719
69	0.3427619712
70	0.3416430052
71	0.3408072437
72	0.3398740895
73	0.3392193326
74	0.3380055734
75	0.3370942836
76	0.3361833499
77	0.3352717752
78	0.3340758565
79	0.3332981746
80	0.3329034046
81	0.3325065693
82	0.3313734306
83	0.3300720713
84	0.3295894164
85	0.3287985589
86	0.3275673153
87	0.3265713811
88	0.3262392131
89	0.3254126034
90	0.3247240171
91	0.323879104
92	0.323425293
93	0.32241191
94	0.3213689708
95	0.320612548
96	0.3197445953
97	0.3193585141
98	0.3181778008
99	0.3176313687
100	0.3169227698
101	0.3159328536
102	0.315247223
103	0.3140614175
104	0.3137471968
105	0.3125774157
106	0.3117155879
107	0.3107343961
108	0.3102116802
109	0.3095584901
110	0.3089832497
111	0.3081131249
112	0.3070709691
113	0.3062009867
114	0.3056597893
115	0.304844183
116	0.3041771763
117	0.3038081522
118	0.3031423206
119	0.3029092902
120	0.3022132971
121	0.3015775202
122	0.3011641975
123	0.3005044552
124	0.2998179343
125	0.299450299
126	0.298846286
127	0.2980409709
128	0.2973088695
129	0.2967706456
130	0.2960332739
131	0.295508279
132	0.2950321051
133	0.294379734
134	0.293791781
135	0.2929576932
136	0.2920308241
137	0.291174587
138	0.2903954095
139	0.2891717152
140	0.2884762206
141	0.2879087076
142	0.2871406048
143	0.286479901
144	0.2859715002
145	0.2852663554
146	0.2843555998
147	0.2840981233
148	0.2831429445
149	0.2828182545
150	0.282339677
151	0.2818008476
152	0.281226818
153	0.2804634157
154	0.2798139646
155	0.2792243557
156	0.2786910637
157	0.2779854026
158	0.2771132657
159	0.2765532308
160	0.2761356883
161	0.2752052405
162	0.2744888074
163	0.2739813681
164	0.273271327
165	0.2725122156
166	0.2720780434
167	0.2713212822
168	0.2704952422
169	0.269797896
170	0.2688519045
171	0.2683505723
172	0.2676769777
173	0.2669630729
174	0.2662124901
175	0.2654843592
176	0.2647540917
177	0.264270867
178	0.2641422979
179	0.2637222094
180	0.2632984353
181	0.262541407
182	0.2616662612
183	0.2615352884
184	0.2608430878
185	0.2602827858
186	0.2598054901
187	0.259386915
188	0.2587056466
189	0.258050765
190	0.2574875252
191	0.2573142836
192	0.2566526184
193	0.256308895
194	0.2556885549
195	0.2553816877
196	0.2548247864
197	0.2538044417
198	0.2532497482
199	0.2525055929
200	0.2519919753
201	0.2515363838
202	0.2507445648
203	0.2504618588
204	0.2500133893
205	0.2495152441
206	0.2492135581
207	0.2486154919
208	0.2477349512
209	0.2471619186
210	0.2465797522
211	0.245892804
212	0.2456729493
213	0.2448183681
214	0.2442329968
215	0.2434914588
216	0.2431588635
217	0.2425434553
218	0.2419524399
219	0.2416155002
220	0.240930742
221	0.2404166792
222	0.2398547926
223	0.2391977032
224	0.238678299
225	0.2382516939
226	0.2374993483
227	0.2371860713
228	0.2363487609
229	0.2358255642
230	0.2352668825
231	0.2345626813
232	0.2341178796
233	0.2334810878
234	0.2329183999
235	0.2325915022
236	0.2322737383
237	0.2318390854
238	0.2314906081
239	0.2307814751
240	0.2304962942
241	0.2301317035
242	0.2298723931
243	0.2291957005
244	0.2289905882
245	0.2282899837
246	0.2277961651
247	0.2274314854
248	0.2270081385
249	0.2268632602
250	0.2264425663
251	0.226002287
252	0.2256180041
253	0.2251912744
254	0.2250376182
255	0.2246830872
256	0.2241540684
257	0.223639151
258	0.2232388972
259	0.2229019397
260	0.2221292609
261	0.2218162154
262	0.221505805
263	0.2211891272
264	0.2209033766
265	0.2204384375
